FID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,RenterOcc_e,RenterOcc_m,GrentLt500_e,GrentLt500_m,pGrentLt500_e,pGrentLt500_m,Grent500_999_e,Grent500_999_m,pGrent500_999_e,pGrent500_999_m,Grent1000_1499_e,Grent1000_1499_m,pGrent1000_1499_e,pGrent1000_1499_m,Grent1500_1999_e,Grent1500_1999_m,pGrent1500_1999_e,pGrent1500_1999_m,Grent2000_2499_e,Grent2000_2499_m,pGrent2000_2499_e,pGrent2000_2499_m,Grent2500_2999_e,Grent2500_2999_m,pGrent2500_2999_e,pGrent2500_2999_m,Grent3000P_e,Grent3000P_m,pGrent3000P_e,pGrent3000P_m,GrentLt200_e,GrentLt200_m,pGrentLt200_e,pGrentLt200_m,Grent200_500_e,Grent200_500_m,pGrent200_500_e,pGrent200_500_m,Grent500_750_e,Grent500_750_m,pGrent500_750_e,pGrent500_750_m,Grent750_1000_e,Grent750_1000_m,pGrent750_1000_e,pGrent750_1000_m,Grent1000_1500_e,Grent1000_1500_m,pGrent1000_1500_e,pGrent1000_1500_m,Grent1500_2000_e,Grent1500_2000_m,pGrent1500_2000_e,pGrent1500_2000_m,Grent2000P_e,Grent2000P_m,pGrent2000P_e,pGrent2000P_m,GrentLt750_e,GrentLt750_m,pGrentLt750_e,pGrentLt750_m,Grent1000P_e,Grent1000P_m,pGrent1000P_e,pGrent1000P_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
476,13063040619,Yes,Atlanta Regional Commission,1424,Tract,"Census Tract 406.19, Clayton County",192,73,12,41,6.3,21.2,0,37,0,19.2,128,68,66.7,24.6,52,41,27.1,18.7,0,13,0,6.8,0,13,0,6.8,0,18,0,9.6,0,23,0,11.7,12,34,6.3,17.6,0,29,0,15.1,0,23,0,11.7,128,68,66.7,24.6,52,41,27.1,18.7,0,26,0,13.5,12,50,6.3,26,180,80,93.8,21.9,,,,,0.105129552037634,0.000360470402258485
477,13063040523,Yes,Atlanta Regional Commission,1410,Tract,"Census Tract 405.23, Clayton County",556,109,6,38,1.1,7,329,101,60,14.2,194,97,35.4,16.3,19,23,3.5,4.1,0,13,0,2.4,0,13,0,2.4,0,18,0,3.4,0,23,0,4.1,6,31,1.1,5.7,88,62,16.1,10.8,241,80,44,11.8,194,97,35.4,16.3,19,23,3.5,4.1,0,26,0,4.7,94,73,17.2,12.8,213,100,38.9,16.7,,,,,0.0754638548422903,0.000262299537835345
478,13063040522,Yes,Atlanta Regional Commission,1409,Tract,"Census Tract 405.22, Clayton County",1207,127,0,39,0,3.3,935,225,79.6,17.1,239,100,20.4,8.2,0,13,0,1.1,0,13,0,1.1,0,13,0,1.1,0,18,0,1.6,0,23,0,1.9,0,32,0,2.7,422,150,35.9,12.2,513,167,43.7,13.4,239,100,20.4,8.2,0,13,0,1.1,0,26,0,2.2,422,155,35.9,12.6,239,102,20.4,8.4,,,,,0.101520366945524,0.000487207830716847
479,13063040520,Yes,Atlanta Regional Commission,1407,Tract,"Census Tract 405.20, Clayton County",1479,128,0,39,0,2.6,1097,214,74.2,13,382,126,25.8,8.2,0,13,0,0.9,0,13,0,0.9,0,13,0,0.9,0,18,0,1.2,0,23,0,1.5,0,32,0,2.2,515,159,34.8,10.3,582,144,39.4,9.1,382,126,25.8,8.2,0,13,0,0.9,0,26,0,1.8,515,163,34.8,10.6,382,127,25.8,8.3,,,,,0.0747902289546721,0.000211770796059958
480,13063040519,Yes,Atlanta Regional Commission,1406,Tract,"Census Tract 405.19, Clayton County",2159,123,49,60,2.3,2.8,1822,349,85.5,15.4,261,135,12.2,6.3,0,13,0,0.6,0,13,0,0.6,0,13,0,0.6,0,18,0,0.9,32,45,1.5,2.1,17,40,0.8,1.9,807,225,37.9,10.3,1015,266,47.6,12.1,261,135,12.2,6.3,0,13,0,0.6,0,26,0,1.2,856,233,40.2,10.6,261,136,12.2,6.3,,,,,0.0539264342000242,0.000154469305977159
481,13063040417,Yes,Atlanta Regional Commission,1397,Tract,"Census Tract 404.17, Clayton County",1554,148,0,54,0,3.5,1016,213,65.7,12.2,531,129,34.3,7.7,0,18,0,1.2,0,18,0,1.2,0,18,0,1.2,0,25,0,1.6,0,31,0,2,0,44,0,2.9,285,125,18.4,7.9,731,173,47.3,10.2,531,129,34.3,7.7,0,18,0,1.2,0,36,0,2.3,285,136,18.4,8.6,531,132,34.3,7.9,,,,,0.0908738699267568,0.000503398996435606
482,13063040203,Yes,Atlanta Regional Commission,1380,Tract,"Census Tract 402.03, Clayton County",892,126,9,41,1,4.5,620,168,69.5,16.1,226,88,25.3,9.2,16,26,1.8,2.9,21,35,2.4,3.9,0,13,0,1.5,0,18,0,2.1,0,23,0,2.5,9,34,1,3.8,115,75,12.9,8.2,505,151,56.6,14.9,226,88,25.3,9.2,16,26,1.8,2.9,21,42,2.4,4.7,124,85,13.9,9.3,263,98,29.5,10.2,,,,,0.0746874765666189,0.000283172204101368
483,13109970300,No,Heart of Georgia Altamaha,1868,Tract,"Census Tract 9703, Evans County",618,112,179,89,33.4,15.2,332,117,61.9,17.6,25,36,4.7,6.7,0,13,0,2.4,0,13,0,2.4,0,13,0,2.4,0,18,0,3.4,42,49,7.8,9.1,137,75,25.6,12.9,239,101,44.6,16.5,93,58,17.4,10.1,25,36,4.7,6.7,0,13,0,2.4,0,26,0,4.9,418,135,78,19.5,25,41,4.7,7.6,,,,,0.70680356032706,0.0190139478670445
484,13109970200,No,Heart of Georgia Altamaha,1867,Tract,"Census Tract 9702, Evans County",474,107,39,30,8.6,6.3,343,105,75.6,15.3,55,35,12.1,7.2,0,13,0,2.9,17,17,3.7,3.6,0,13,0,2.9,0,18,0,4,6,20,1.3,4.5,33,22,7.3,4.5,213,88,46.9,16,130,58,28.6,11,55,35,12.1,7.2,0,13,0,2.9,17,28,3.7,6.2,252,93,55.5,15.9,72,41,15.9,8.2,,,,,0.451473109735193,0.00912836902514542
485,13109970100,No,Heart of Georgia Altamaha,1866,Tract,"Census Tract 9701, Evans County",333,105,119,80,40.2,22.8,170,88,57.4,22.1,7,18,2.4,6.2,0,13,0,4.4,0,13,0,4.4,0,13,0,4.4,0,18,0,6.2,47,56,15.9,18.1,72,56,24.3,17,123,69,41.6,18.3,47,55,15.9,17.7,7,18,2.4,6.2,0,13,0,4.4,0,26,0,8.8,242,105,81.8,21.1,7,26,2.4,8.7,,,,,0.848794428801197,0.0181263678709626
486,13051002300,No,Coastal Regional Commission,1249,Tract,"Census Tract 23, Chatham County",502,96,73,56,16.1,12,265,90,58.5,15.8,104,52,23,10.5,11,18,2.4,3.9,0,13,0,2.9,0,13,0,2.9,0,18,0,4.1,8,22,1.8,4.8,65,52,14.3,11,116,64,25.6,13.1,149,63,32.9,12.2,104,52,23,10.5,11,18,2.4,3.9,0,26,0,5.7,189,85,41.7,16.7,115,57,25.4,11.3,,,,,0.037868168841986,5.93852267071516e-05
487,13051002200,No,Coastal Regional Commission,1248,Tract,"Census Tract 22, Chatham County",1182,148,151,82,13.2,7,677,170,59.3,12.7,288,90,25.2,7.2,25,29,2.2,2.5,0,13,0,1.1,0,13,0,1.1,0,18,0,1.6,11,25,1,2.2,140,78,12.3,6.6,312,127,27.3,10.6,365,113,32,9,288,90,25.2,7.2,25,29,2.2,2.5,0,26,0,2.3,463,151,40.6,12.1,313,96,27.4,7.6,,,,,0.0588380583553634,0.000210776071188343
488,13051002100,No,Coastal Regional Commission,1247,Tract,"Census Tract 21, Chatham County",416,100,15,38,4.2,10.7,247,94,69.6,18.4,71,43,20,10.9,15,19,4.2,5.2,0,13,0,3.7,0,13,0,3.7,7,18,2,5,0,23,0,6.3,15,31,4.2,8.6,72,46,20.3,11.7,175,82,49.3,18.8,71,43,20,10.9,15,19,4.2,5.2,7,26,2,7.2,87,60,24.5,15.4,86,49,24.2,12.2,,,,,0.0343293341895858,7.02015773383537e-05
489,13051002000,No,Coastal Regional Commission,1246,Tract,"Census Tract 20, Chatham County",359,63,56,44,16.7,12.7,166,61,49.6,15.7,85,41,25.4,11.1,16,21,4.8,6.2,12,17,3.6,5,0,13,0,3.9,0,18,0,5.5,32,33,9.6,9.6,24,29,7.2,8.6,21,23,6.3,6.7,145,57,43.3,14.9,85,41,25.4,11.1,16,21,4.8,6.2,12,28,3.6,8.4,77,49,23,14.1,113,49,33.7,13.1,,,,,0.0299753721574526,5.43901335705229e-05
490,13051001500,No,Coastal Regional Commission,1245,Tract,"Census Tract 15, Chatham County",458,53,163,65,37.6,14.1,97,53,22.4,11.9,109,45,25.2,9.9,35,24,8.1,5.4,8,9,1.8,2.1,21,23,4.8,5.3,0,18,0,4.2,43,33,9.9,7.4,120,56,27.7,12.4,53,44,12.2,10,44,30,10.2,6.9,109,45,25.2,9.9,35,24,8.1,5.4,29,31,6.7,7.1,216,78,49.9,16.7,152,52,35.1,11.1,,,,,0.0200704627976361,2.45661916219691e-05
491,13051001200,No,Coastal Regional Commission,1244,Tract,"Census Tract 12, Chatham County",687,75,237,73,44.6,12.1,289,83,54.4,13.6,5,16,0.9,3,0,13,0,2.4,0,13,0,2.4,0,13,0,2.4,0,18,0,3.5,10,24,1.9,4.6,227,69,42.7,11.4,104,50,19.6,9,185,66,34.8,11.5,5,16,0.9,3,0,13,0,2.4,0,26,0,4.9,341,88,64.2,13.9,5,24,0.9,4.6,,,,,0.062249235676997,0.000157618486606471
492,13051004207,No,Coastal Regional Commission,1268,Tract,"Census Tract 42.07, Chatham County",1051,132,57,64,5.4,6,614,159,58.4,13.2,191,77,18.2,7,9,16,0.9,1.5,10,15,1,1.4,49,33,4.7,3.1,121,57,11.5,5.2,24,43,2.3,4.1,33,47,3.1,4.5,116,70,11,6.5,498,143,47.4,12.2,191,77,18.2,7,9,16,0.9,1.5,180,68,17.1,6.1,173,95,16.5,8.8,210,80,20,7.2,,,,,0.058466870293239,0.000186369127723101
493,13051000900,No,Coastal Regional Commission,1242,Tract,"Census Tract 9, Chatham County",448,75,99,51,23.3,11.4,131,58,30.8,12.6,82,36,19.3,7.9,68,44,16,10,16,15,3.8,3.5,29,24,6.8,5.5,0,18,0,4.3,5,20,1.2,4.8,94,47,22.1,10.4,93,51,21.9,11.4,38,28,8.9,6.4,82,36,19.3,7.9,68,44,16,10,45,34,10.6,7.7,192,72,45.2,15.1,166,59,39.1,12.2,,,,,0.0220656535287783,2.53418346459576e-05
494,13051000300,No,Coastal Regional Commission,1240,Tract,"Census Tract 3, Chatham County",392,80,0,39,0,10.5,113,50,30.5,11.9,180,73,48.5,16.8,21,23,5.7,6.1,39,31,10.5,8,18,14,4.9,3.6,0,18,0,5,0,23,0,6.1,0,32,0,8.6,44,27,11.9,6.8,69,43,18.6,10.8,180,73,48.5,16.8,21,23,5.7,6.1,57,39,15.4,9.9,44,47,11.9,12.5,240,83,64.7,17.5,,,,,0.0507974290090941,0.000124928613120423
495,13051010601,No,Coastal Regional Commission,1282,Tract,"Census Tract 106.01, Chatham County",966,170,101,103,11.3,11.2,712,233,79.4,20.6,65,58,7.2,6.3,19,25,2.1,2.8,0,13,0,1.4,0,13,0,1.4,0,18,0,2,0,23,0,2.5,101,100,11.3,11,483,189,53.8,18.2,229,135,25.5,14.2,65,58,7.2,6.3,19,25,2.1,2.8,0,26,0,2.9,584,215,65.1,20.2,84,64,9.4,6.9,,,,,0.108072396403205,0.000568980902979089
496,13063040617,Yes,Atlanta Regional Commission,1423,Tract,"Census Tract 406.17, Clayton County",120,42,0,39,0,34.5,113,47,100,22.2,0,18,0,16.3,0,13,0,11.5,0,13,0,11.5,0,13,0,11.5,0,18,0,16.3,0,23,0,19.9,0,32,0,28.2,52,33,46,23.9,61,34,54,23.3,0,18,0,16.3,0,13,0,11.5,0,26,0,23,52,51,46,42,0,26,0,23,,,,,0.0511142732525877,0.000105153026278934
497,13063040615,Yes,Atlanta Regional Commission,1421,Tract,"Census Tract 406.15, Clayton County",216,62,0,39,0,20.2,29,39,15,19.5,137,68,71,27.7,27,24,14,11.7,0,13,0,6.7,0,13,0,6.7,0,18,0,9.5,0,23,0,11.7,0,32,0,16.5,0,29,0,15.1,29,25,15,12.4,137,68,71,27.7,27,24,14,11.7,0,26,0,13.5,0,49,0,25.2,164,73,85,27.6,,,,,0.106391514922199,0.000319646344412467
498,13063040521,Yes,Atlanta Regional Commission,1408,Tract,"Census Tract 405.21, Clayton County",566,109,0,39,0,7.7,299,123,59.1,21.2,170,70,33.6,12.1,27,44,5.3,8.6,10,19,2,3.7,0,13,0,2.6,0,18,0,3.6,0,23,0,4.4,0,32,0,6.3,102,70,20.2,13.3,197,101,38.9,18.3,170,70,33.6,12.1,27,44,5.3,8.6,10,29,2,5.8,102,80,20.2,15.4,207,85,40.9,14.7,,,,,0.0783829694038541,0.000255097673639366
499,13063040415,Yes,Atlanta Regional Commission,1395,Tract,"Census Tract 404.15, Clayton County",1723,211,0,54,0,3.1,1406,331,81.6,16.4,317,156,18.4,8.8,0,18,0,1,0,18,0,1,0,18,0,1,0,25,0,1.5,0,31,0,1.8,0,44,0,2.6,569,227,33,12.5,837,241,48.6,12.7,317,156,18.4,8.8,0,18,0,1,0,36,0,2.1,569,233,33,12.9,317,158,18.4,8.9,,,,,0.124896050667241,0.000393599896490755
500,13063040414,Yes,Atlanta Regional Commission,1394,Tract,"Census Tract 404.14, Clayton County",417,54,14,43,3.5,10.7,221,78,55,18.3,138,51,34.3,12,29,36,7.2,8.9,0,13,0,3.2,0,13,0,3.2,0,18,0,4.6,0,23,0,5.6,14,36,3.5,9.1,13,31,3.2,7.6,208,72,51.7,16.8,138,51,34.3,12,29,36,7.2,8.9,0,26,0,6.5,27,53,6.7,13.1,167,64,41.5,15,,,,,0.0748221517368622,0.000204017825217368
501,13063040204,Yes,Atlanta Regional Commission,1381,Tract,"Census Tract 402.04, Clayton County",1169,144,11,41,0.9,3.5,949,202,82,14.1,198,77,17.1,6.3,0,13,0,1.1,0,13,0,1.1,0,13,0,1.1,0,18,0,1.6,11,25,0.9,2.2,0,32,0,2.7,568,152,49.1,11.6,381,133,32.9,10.7,198,77,17.1,6.3,0,13,0,1.1,0,26,0,2.2,579,158,50,12.1,198,79,17.1,6.5,,,,,0.0790067185996614,0.000266817444417541
502,13063040308,Yes,Atlanta Regional Commission,1386,Tract,"Census Tract 403.08, Clayton County",1124,175,74,64,6.8,5.8,883,214,80.7,14.5,116,91,10.6,8.1,13,17,1.2,1.5,0,13,0,1.2,0,13,0,1.2,8,18,0.7,1.7,10,23,0.9,2.1,64,60,5.9,5.4,255,100,23.3,8.3,628,189,57.4,14.5,116,91,10.6,8.1,13,17,1.2,1.5,8,26,0.7,2.4,329,119,30.1,9.7,129,93,11.8,8.3,,,,,0.179056629052984,0.00089974530589876
503,13063040620,Yes,Atlanta Regional Commission,1425,Tract,"Census Tract 406.20, Clayton County",253,101,0,39,0,15.4,14,41,5.5,16,163,85,64.4,21.6,62,56,24.5,19.9,14,22,5.5,8.4,0,13,0,5.1,0,18,0,7.3,0,23,0,8.9,0,32,0,12.6,0,29,0,11.5,14,29,5.5,11.1,163,85,64.4,21.6,62,56,24.5,19.9,14,31,5.5,12.2,0,49,0,19.2,239,104,94.5,16.5,,,,,0.206881702602806,0.000889257387913922
504,13063040616,Yes,Atlanta Regional Commission,1422,Tract,"Census Tract 406.16, Clayton County",2161,247,63,88,2.9,4.1,1096,291,51.1,12.2,968,244,45.1,10.1,17,28,0.8,1.3,0,18,0,0.8,0,18,0,0.8,0,25,0,1.2,0,31,0,1.5,63,82,2.9,3.8,282,141,13.2,6.4,814,254,38,11,968,244,45.1,10.1,17,28,0.8,1.3,0,36,0,1.7,345,166,16.1,7.5,985,246,45.9,10.2,,,,,0.145009704960109,0.000641629854646248
505,13051000100,No,Coastal Regional Commission,1239,Tract,"Census Tract 1, Chatham County",285,34,101,48,44.7,19.2,109,49,48.2,19.8,16,19,7.1,8.3,0,13,0,5.8,0,13,0,5.8,0,13,0,5.8,0,18,0,8.1,10,23,4.4,10.2,91,42,40.3,16.7,88,43,38.9,17.4,21,25,9.3,10.9,16,19,7.1,8.3,0,13,0,5.8,0,26,0,11.5,189,64,83.6,23.3,16,27,7.1,11.7,,,,,0.0516948110391881,0.000118153500076566
506,13051011500,No,Coastal Regional Commission,1307,Tract,"Census Tract 115, Chatham County",95,50,0,39,0,41.1,9,37,9.5,38.8,82,51,86.3,27.7,4,10,4.2,10.3,0,13,0,13.7,0,13,0,13.7,0,18,0,19.4,0,23,0,23.7,0,32,0,33.5,0,29,0,30.6,9,23,9.5,23.8,82,51,86.3,27.7,4,10,4.2,10.3,0,26,0,27.4,0,49,0,51.2,86,53,90.5,29.3,,,,,1.10314748965316,0.0230489197300627
507,13051011400,No,Coastal Regional Commission,1306,Tract,"Census Tract 114, Chatham County",744,96,99,58,14.1,8,317,94,45.1,11.8,232,75,33,9.7,44,32,6.3,4.5,11,14,1.6,2,0,13,0,1.8,0,18,0,2.6,24,32,3.4,4.6,75,48,10.7,6.6,132,68,18.8,9.3,185,65,26.3,8.5,232,75,33,9.7,44,32,6.3,4.5,11,27,1.6,3.8,231,89,32.9,11.8,287,83,40.8,10.4,,,,,0.0356894740889556,7.70703869812804e-05
508,13051011300,No,Coastal Regional Commission,1305,Tract,"Census Tract 113, Chatham County",809,127,193,88,23.9,10.2,311,108,38.4,11.9,215,78,26.6,8.7,46,32,5.7,3.9,44,30,5.4,3.6,0,13,0,1.6,0,18,0,2.3,0,23,0,2.8,193,85,23.9,9.8,106,62,13.1,7.3,205,88,25.3,10.2,215,78,26.6,8.7,46,32,5.7,3.9,44,38,5.4,4.6,299,107,37,11.9,305,89,37.7,9.3,,,,,0.0330353265331009,6.05365022385817e-05
509,13051011200,No,Coastal Regional Commission,1304,Tract,"Census Tract 112, Chatham County",524,93,14,42,2.8,8.2,123,56,24.2,10.2,207,70,40.7,11.6,107,47,21.1,8.4,32,23,6.3,4.4,14,15,2.8,2.9,11,21,2.2,4,0,23,0,4.4,14,35,2.8,6.9,37,33,7.3,6.4,86,46,16.9,8.5,207,70,40.7,11.6,107,47,21.1,8.4,57,34,11.2,6.4,51,53,10,10.3,346,87,68.1,11.9,,,,,0.0357263374456146,6.46369713194652e-05
510,13051010901,No,Coastal Regional Commission,1293,Tract,"Census Tract 109.01, Chatham County",1312,128,458,164,37,12.6,512,147,41.3,11,190,90,15.3,7.1,48,41,3.9,3.3,31,24,2.5,1.9,0,13,0,1,0,18,0,1.5,31,31,2.5,2.5,427,161,34.5,12.4,60,42,4.8,3.4,452,141,36.5,10.6,190,90,15.3,7.1,48,41,3.9,3.3,31,33,2.5,2.6,518,169,41.8,12.8,269,102,21.7,7.9,,,,,0.325394523257206,0.00193035573782103
511,13051010603,No,Coastal Regional Commission,1283,Tract,"Census Tract 106.03, Chatham County",568,79,16,40,2.9,7.3,278,82,50.6,12.9,255,70,46.4,10.6,0,13,0,2.4,0,13,0,2.4,0,13,0,2.4,0,18,0,3.3,0,23,0,4.1,16,34,2.9,6.1,55,44,10,7.8,223,70,40.6,11.1,255,70,46.4,10.6,0,13,0,2.4,0,26,0,4.7,71,60,12.9,10.7,255,72,46.4,11.1,,,,,0.151749806503549,0.00108022414076646
512,13051010502,No,Coastal Regional Commission,1281,Tract,"Census Tract 105.02, Chatham County",895,130,200,109,23.1,12.1,428,153,49.4,16.1,232,111,26.8,12.2,7,12,0.8,1.4,0,13,0,1.5,0,13,0,1.5,0,18,0,2.1,47,57,5.4,6.5,153,92,17.6,10.3,225,116,26,12.8,203,100,23.4,11,232,111,26.8,12.2,7,12,0.8,1.4,0,26,0,3,425,159,49,16.9,239,113,27.6,12.4,,,,,0.207893022253132,0.00138761916779582
513,13051010501,No,Coastal Regional Commission,1280,Tract,"Census Tract 105.01, Chatham County",1494,178,192,112,12.9,7.4,590,200,39.7,12.7,617,199,41.5,12.4,87,65,5.9,4.3,0,18,0,1.2,0,18,0,1.2,0,25,0,1.7,0,31,0,2.1,192,108,12.9,7.1,231,120,15.5,7.8,359,161,24.2,10.4,617,199,41.5,12.4,87,65,5.9,4.3,0,36,0,2.4,423,164,28.5,10.5,704,210,47.4,13,,,,,0.268879399154248,0.00327352564367271
514,13063040526,Yes,Atlanta Regional Commission,1413,Tract,"Census Tract 405.26, Clayton County",1013,243,34,76,3.4,7.5,449,185,44.9,14.8,472,218,47.2,18.5,45,73,4.5,7.2,0,18,0,1.8,0,18,0,1.8,0,25,0,2.5,0,31,0,3.1,34,69,3.4,6.8,43,78,4.3,7.7,406,167,40.6,13.5,472,218,47.2,18.5,45,73,4.5,7.2,0,36,0,3.6,77,109,7.7,10.7,517,231,51.7,19.3,,,,,0.120983768203846,0.000492109305562262
515,13063040525,Yes,Atlanta Regional Commission,1412,Tract,"Census Tract 405.25, Clayton County",356,80,14,43,4,12.2,36,38,10.3,10.6,301,86,85.8,15.3,0,13,0,3.7,0,13,0,3.7,0,13,0,3.7,0,18,0,5.2,0,23,0,6.4,14,36,4,10.3,6,28,1.7,7.8,30,26,8.5,7.2,301,86,85.8,15.3,0,13,0,3.7,0,26,0,7.4,20,51,5.7,14.5,301,88,85.8,16.2,,,,,0.0800951750229555,0.000227090568378433
516,13063040524,Yes,Atlanta Regional Commission,1411,Tract,"Census Tract 405.24, Clayton County",1521,249,23,63,1.6,4.4,887,293,61.9,17.4,472,190,33,11.9,50,75,3.5,5.2,0,18,0,1.3,0,18,0,1.3,0,25,0,1.8,23,45,1.6,3.1,0,44,0,3.1,350,182,24.4,12,537,230,37.5,14.7,472,190,33,11.9,50,75,3.5,5.2,0,36,0,2.5,373,192,26,12.6,522,205,36.5,12.8,,,,,0.109008404404215,0.000523580666257588
517,13063040416,Yes,Atlanta Regional Commission,1396,Tract,"Census Tract 404.16, Clayton County",278,104,0,39,0,14.8,138,89,52.5,27.1,125,57,47.5,12,0,13,0,4.9,0,13,0,4.9,0,13,0,4.9,0,18,0,7,0,23,0,8.6,0,32,0,12.1,25,48,9.5,17.8,113,75,43,23.2,125,57,47.5,12,0,13,0,4.9,0,26,0,9.9,25,62,9.5,23.1,125,60,47.5,13.9,,,,,0.0837447909223353,0.000373159214095664
518,13063040306,Yes,Atlanta Regional Commission,1384,Tract,"Census Tract 403.06, Clayton County",1098,140,26,46,2.4,4.2,917,210,83.5,15.9,155,82,14.1,7.3,0,13,0,1.2,0,13,0,1.2,0,13,0,1.2,0,18,0,1.7,0,23,0,2.1,26,40,2.4,3.6,359,134,32.7,11.4,558,163,50.8,13.3,155,82,14.1,7.3,0,13,0,1.2,0,26,0,2.4,385,141,35.1,12.1,155,84,14.1,7.4,,,,,0.0946711506851638,0.000425262595957003
519,13051011600,No,Coastal Regional Commission,1308,Tract,"Census Tract 116, Chatham County",531,89,8,39,1.9,9.3,307,107,73.6,20,79,48,18.9,10.7,23,27,5.5,6.4,0,13,0,3.1,0,13,0,3.1,0,18,0,4.4,0,23,0,5.4,8,31,1.9,7.5,148,73,35.5,15.7,159,79,38.1,16.9,79,48,18.9,10.7,23,27,5.5,6.4,0,26,0,6.2,156,83,37.4,18.1,102,56,24.5,12.4,,,,,0.110279022534384,0.000299303884854328
520,13051000601,No,Coastal Regional Commission,1241,Tract,"Census Tract 6.01, Chatham County",876,138,209,105,25.2,11.8,517,140,62.3,12.8,73,57,8.8,6.7,31,35,3.7,4.2,0,13,0,1.6,0,13,0,1.6,0,18,0,2.2,76,71,9.2,8.4,133,77,16,8.8,262,102,31.6,10.9,255,96,30.7,10.2,73,57,8.8,6.7,31,35,3.7,4.2,0,26,0,3.1,471,146,56.7,14.5,104,68,12.5,7.9,,,,,0.0909208333123551,0.000340150544097817
521,13051004300,No,Coastal Regional Commission,1274,Tract,"Census Tract 43, Chatham County",611,55,0,39,0,6.4,106,61,17.3,9.8,263,82,43,12.9,233,73,38.1,11.4,9,10,1.5,1.6,0,13,0,2.1,0,18,0,3,0,23,0,3.7,0,32,0,5.2,31,28,5.1,4.6,75,54,12.3,8.7,263,82,43,12.9,233,73,38.1,11.4,9,25,1.5,4,31,48,5.1,7.9,505,110,82.7,16.5,,,,,0.232417606651603,0.00212671789241159
522,13051990000,No,Coastal Regional Commission,1310,Tract,"Census Tract 9900, Chatham County",0,13,0,39,,,0,37,,,0,18,,,0,13,,,0,13,,,0,13,,,0,18,,,0,23,,,0,32,,,0,29,,,0,23,,,0,18,,,0,13,,,0,26,,,0,49,,,0,26,,,,,,,1.15515748528064,0.0273204656421118
523,13051004211,No,Coastal Regional Commission,1272,Tract,"Census Tract 42.11, Chatham County",647,154,0,54,0,8.3,252,126,38.9,17,310,127,47.9,15.9,85,63,13.1,9.2,0,18,0,2.8,0,18,0,2.8,0,25,0,3.9,0,31,0,4.8,0,44,0,6.8,127,104,19.6,15.3,125,71,19.3,9.9,310,127,47.9,15.9,85,63,13.1,9.2,0,36,0,5.6,127,117,19.6,17.5,395,143,61.1,16.6,,,,,0.0730280538794293,0.000341124219556604
524,13051011108,No,Coastal Regional Commission,1302,Tract,"Census Tract 111.08, Chatham County",166,82,0,39,0,26,8,37,5.3,24.6,9,20,6,12.8,133,83,88.7,28.7,0,13,0,8.7,0,13,0,8.7,0,18,0,12.3,0,23,0,15,0,32,0,21.2,8,30,5.3,19.5,0,23,0,15,9,20,6,12.8,133,83,88.7,28.7,0,26,0,17.3,8,49,5.3,32.5,142,86,94.7,27.6,,,,,0.234627140835294,0.00224329682775242
525,13051004212,No,Coastal Regional Commission,1273,Tract,"Census Tract 42.12, Chatham County",723,139,39,71,5.5,9.9,488,163,68.3,18.6,156,86,21.8,11.2,19,21,2.7,2.9,7,13,1,1.8,0,18,0,2.5,5,21,0.7,2.9,0,31,0,4.4,39,64,5.5,8.9,85,51,11.9,6.8,403,155,56.4,18.7,156,86,21.8,11.2,19,21,2.7,2.9,12,30,1.7,4.2,124,88,17.4,11.9,182,89,25.5,11.5,,,,,0.116343044463908,0.000597656050226461
526,13051010200,No,Coastal Regional Commission,1279,Tract,"Census Tract 102, Chatham County",522,139,0,39,0,7.6,162,90,31.6,15.2,302,125,59,18.3,48,48,9.4,9,0,13,0,2.5,0,13,0,2.5,0,18,0,3.6,0,23,0,4.4,0,32,0,6.2,25,44,4.9,8.4,137,78,26.8,13.4,302,125,59,18.3,48,48,9.4,9,0,26,0,5.1,25,58,4.9,11.3,350,134,68.4,18.5,,,,,0.0969703999164895,0.00028378205454336
527,13051010102,No,Coastal Regional Commission,1278,Tract,"Census Tract 101.02, Chatham County",626,116,36,49,5.9,8,303,101,49.9,13.8,242,82,39.9,11.4,22,18,3.6,2.9,4,7,0.7,1.1,0,13,0,2.1,0,18,0,3,0,23,0,3.7,36,43,5.9,7.1,102,57,16.8,8.9,201,83,33.1,12.3,242,82,39.9,11.4,22,18,3.6,2.9,4,24,0.7,3.9,138,75,22.7,11.7,268,85,44.2,11.3,,,,,0.220592129466619,0.000984463493503682
528,13051010101,No,Coastal Regional Commission,1277,Tract,"Census Tract 101.01, Chatham County",184,53,129,61,72.5,26.8,46,43,25.8,23.1,3,14,1.7,7.8,0,13,0,7.3,0,13,0,7.3,0,13,0,7.3,0,18,0,10.3,32,36,18,19.5,97,50,54.5,22.6,29,28,16.3,14.7,17,33,9.6,18.6,3,14,1.7,7.8,0,13,0,7.3,0,26,0,14.6,158,67,88.8,26.9,3,23,1.7,12.9,,,,,0.20494968698341,0.00118946531590717
